week,building,site,method,is90_sum,is90_count,coverage90_sum,coverage90_count,loss_sum,loss_count
2016-10-24/2016-10-30,Panther_assembly_Carrol,Panther,ci,294.38597901986094,74,68.0,74,83.69394404165926,74
2016-10-24/2016-10-30,Panther_assembly_Carrol,Panther,common_corrected,251.46161394963832,74,69.66666666666667,74,77.07084265262894,74
2016-10-24/2016-10-30,Panther_assembly_Carrol,Panther,exact_lineage,252.50049975028708,74,69.33333333333333,74,77.13888153375625,74
2016-10-24/2016-10-30,Panther_assembly_Carrol,Panther,seasonal_naive,390.72489097722644,74,52.0,74,127.09554018374342,74
2016-10-24/2016-10-30,Panther_assembly_Carrol,Panther,shrinkage,297.31151590488355,74,68.33333333333333,74,79.16102965589648,74
2016-10-24/2016-10-30,Panther_assembly_Carrol,Panther,sketch_2048,254.41232177025978,74,68.66666666666667,74,78.40305274826689,74
2016-10-24/2016-10-30,Peacock_assembly_Dena,Peacock,ci,37.49539828954601,74,59.666666666666664,74,10.436939354997662,74
2016-10-24/2016-10-30,Peacock_assembly_Dena,Peacock,common_corrected,35.857828664271295,74,60.666666666666664,74,9.665967930966096,74
2016-10-24/2016-10-30,Peacock_assembly_Dena,Peacock,exact_lineage,35.970651713738796,74,61.0,74,9.693933374434309,74
2016-10-24/2016-10-30,Peacock_assembly_Dena,Peacock,seasonal_naive,43.61725410921937,74,61.0,74,8.625453343591621,74
2016-10-24/2016-10-30,Peacock_assembly_Dena,Peacock,shrinkage,35.99581988555052,74,59.0,74,9.531901068035037,74
2016-10-24/2016-10-30,Peacock_assembly_Dena,Peacock,sketch_2048,36.05165595961098,74,59.666666666666664,74,9.786585561876631,74
2016-10-24/2016-10-30,Rat_assembly_Adolfo,Rat,ci,85.0193542536407,74,59.666666666666664,74,28.348707176514086,74
2016-10-24/2016-10-30,Rat_assembly_Adolfo,Rat,common_corrected,76.74087222348257,74,63.666666666666664,74,25.59851687453324,74
2016-10-24/2016-10-30,Rat_assembly_Adolfo,Rat,exact_lineage,79.52697599704246,74,62.666666666666664,74,25.999712653856577,74
2016-10-24/2016-10-30,Rat_assembly_Adolfo,Rat,seasonal_naive,96.5396302157419,74,59.0,74,29.582233056288253,74
2016-10-24/2016-10-30,Rat_assembly_Adolfo,Rat,shrinkage,73.40672027351766,74,64.66666666666667,74,24.745930222360776,74
2016-10-24/2016-10-30,Rat_assembly_Adolfo,Rat,sketch_2048,81.70469884023282,74,61.333333333333336,74,26.582535381414253,74
2016-10-24/2016-10-30,Robin_assembly_Colleen,Robin,ci,87.9660897061266,74,55.666666666666664,74,21.33433392481675,74
2016-10-24/2016-10-30,Robin_assembly_Colleen,Robin,common_corrected,80.10351106017872,74,54.0,74,19.18863412276925,74
2016-10-24/2016-10-30,Robin_assembly_Colleen,Robin,exact_lineage,79.07299805109072,74,55.0,74,18.93512745414645,74
2016-10-24/2016-10-30,Robin_assembly_Colleen,Robin,seasonal_naive,60.720401596929214,74,69.0,74,13.830537834944156,74
2016-10-24/2016-10-30,Robin_assembly_Colleen,Robin,shrinkage,77.87061327444705,74,57.333333333333336,74,19.223267252239484,74
2016-10-24/2016-10-30,Robin_assembly_Colleen,Robin,sketch_2048,78.64124782804943,74,55.666666666666664,74,19.148040269477665,74
2016-10-24/2016-10-30,Shrew_office_Doris,Shrew,ci,26.893967380512034,74,72.0,74,10.035019443642543,74
2016-10-24/2016-10-30,Shrew_office_Doris,Shrew,common_corrected,26.637842828640103,74,71.0,74,10.430517959348398,74
2016-10-24/2016-10-30,Shrew_office_Doris,Shrew,exact_lineage,27.2652574733447,74,70.66666666666667,74,10.43948056275564,74
2016-10-24/2016-10-30,Shrew_office_Doris,Shrew,seasonal_naive,30.41938419427631,74,71.0,74,8.469948932623883,74
2016-10-24/2016-10-30,Shrew_office_Doris,Shrew,shrinkage,25.882912442827227,74,71.0,74,10.044422502339291,74
2016-10-24/2016-10-30,Shrew_office_Doris,Shrew,sketch_2048,27.3314967523105,74,72.33333333333333,74,10.399309101178181,74
2016-10-31/2016-11-06,Bear_assembly_Beatrice,Bear,ci,83.25479519008515,11,1.0,11,9.706854690848257,11
2016-10-31/2016-11-06,Bear_assembly_Beatrice,Bear,common_corrected,78.38922190095678,11,1.0,11,9.081444623954514,11
2016-10-31/2016-11-06,Bear_assembly_Beatrice,Bear,exact_lineage,77.80710308496934,11,1.0,11,9.159533293909915,11
2016-10-31/2016-11-06,Bear_assembly_Beatrice,Bear,seasonal_naive,87.87753099328995,11,1.0,11,10.254462993979107,11
2016-10-31/2016-11-06,Bear_assembly_Beatrice,Bear,shrinkage,64.8050848829308,11,2.0,11,8.648780495418581,11
2016-10-31/2016-11-06,Bear_assembly_Beatrice,Bear,sketch_2048,75.96234207579239,11,1.0,11,9.110207173817182,11
2016-10-31/2016-11-06,Bobcat_assembly_Adam,Bobcat,ci,16.209043568883615,11,7.333333333333333,11,3.354464922480163,11
2016-10-31/2016-11-06,Bobcat_assembly_Adam,Bobcat,common_corrected,14.818715339927149,11,7.666666666666667,11,3.329594811924021,11
2016-10-31/2016-11-06,Bobcat_assembly_Adam,Bobcat,exact_lineage,14.777701327004575,11,7.666666666666667,11,3.3362629002639963,11
2016-10-31/2016-11-06,Bobcat_assembly_Adam,Bobcat,seasonal_naive,6.785017282869465,11,10.0,11,2.6861129126419523,11
2016-10-31/2016-11-06,Bobcat_assembly_Adam,Bobcat,shrinkage,14.813453015217327,11,7.666666666666667,11,3.3294977009262356,11
2016-10-31/2016-11-06,Bobcat_assembly_Adam,Bobcat,sketch_2048,16.27927687527004,11,7.0,11,3.371614640713993,11
2016-10-31/2016-11-06,Bull_assembly_Amalia,Bull,ci,20.237213780684968,11,11.0,11,0.9344812693683465,11
2016-10-31/2016-11-06,Bull_assembly_Amalia,Bull,common_corrected,20.72337443008034,11,11.0,11,0.8693807359680827,11
2016-10-31/2016-11-06,Bull_assembly_Amalia,Bull,exact_lineage,20.40810238860947,11,11.0,11,0.8784978868121903,11
2016-10-31/2016-11-06,Bull_assembly_Amalia,Bull,seasonal_naive,17.20989588917021,11,11.0,11,1.440293426018791,11
2016-10-31/2016-11-06,Bull_assembly_Amalia,Bull,shrinkage,19.796804147287226,11,11.0,11,0.9780146788283832,11
2016-10-31/2016-11-06,Bull_assembly_Amalia,Bull,sketch_2048,20.362668725114354,11,11.0,11,0.8694159935353376,11
